INSERT INTO peminjaman (tgl_Peminjaman , tgl_Pengembalian , lamaHari , id_Buku) VALUES ('20150111' , '20160213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3) ,
('20150111' , '20150212' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 4) ,
('20140512' , '20140515' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 5) ,
('20150312' , '20150314' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3) ,
('20120111' , '20120113' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 6) ,
('20151011' , '20151020' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 10) ,
('20150501' , '20150508' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3) ,
('20100102' , '20100105' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 11),
('20150111' , '20160213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 12) ,
('20120110' , '20120113' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3) ,
('20150111' , '20160213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 5) ,
('20110111' , '20110113' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3) ,
('20150111' , '20160213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3) ,
('20180511' , '20180512' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 20) ,
('20150111' , '20160213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3),
('20150110' , '20150210' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 21),
('20180111' , '20180210' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 7),
('20150110' , '20150213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 8),
('20170310' , '20170313' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 3),
('20140410' , '20140213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 23),
('20100111' , '20100114' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 20),
('20150911' , '20160915' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 28),
('20110801' , '20110813' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 15),
('20130211' , '20130213' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 16),
('20110111' , '20110114' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 23),
('20110411' , '20110413' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 25),
('20130111' , '20130113' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 23),
('20151011' , '20151015' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 15),
('20160410' , '20160413' , TIMESTAMPDIFF(DAY , tgl_Peminjaman ,tgl_Pengembalian) , 17)
